"achieve_1","achieve_3","achieve_4","self_1","self_3","self_4","self_5","self_7","self_8","curio_1","curio_3","curio_4","curio_5","curio_6","curio_7","curio_8","curio_9","curio_10","curio_11","deci_2","deci_4","deci_5","info_1","info_3","info_4","info_5","info_6","inter_d_1","inter_d_3","inter_d_4","inter_d_5","inter_d_7","inter_d_8"
3,1,1,2,2,2,3,2,2,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,1,1,1
3,1,1,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,1,2,1,3,2,2,2,1,3,1
2,2,3,2,2,3,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2,1,3,2,3,1,3,2,2,2,2,3
4,1,3,3,1,4,1,3,4,3,3,3,1,3,1,3,1,1,3,3,3,3,3,1,4,3,1,3,1,1,1,1,1
2,2,2,3,2,2,2,3,3,1,3,1,2,2,2,3,1,3,2,3,3,3,2,1,3,2,3,3,3,2,2,3,1
2,3,2,3,2,3,3,1,3,2,2,2,3,2,4,2,1,2,3,3,2,3,1,1,2,1,1,3,3,2,2,2,3
2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,2,1,2,2,1,2,3,2,2,1,2,2,2,2
3,3,2,3,2,3,2,2,4,2,2,2,1,2,2,2,3,2,2,0,2,3,2,1,2,2,3,3,2,3,2,2,2
2,2,1,2,2,3,3,2,3,2,3,2,2,3,2,2,3,1,2,1,1,2,1,2,1,1,2,4,4,3,3,3,3
2,2,0,2,2,2,3,2,4,2,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2
4,2,2,3,2,3,4,2,3,2,3,3,3,2,2,3,3,2,3,2,2,2,1,1,2,1,2,3,2,2,1,1,2
2,2,2,2,2,4,3,2,2,3,3,2,3,2,2,2,3,3,1,2,2,1,2,3,2,2,2,2,2,3,2,2,2
3,3,1,1,2,4,3,2,3,3,3,3,3,1,2,2,2,1,2,2,2,2,2,2,2,2,3,4,3,2,2,3,2
4,4,3,2,2,0,0,2,3,2,1,1,2,2,3,3,1,4,1,4,3,1,2,0,2,3,1,3,4,0,4,2,4
3,4,3,3,2,4,4,2,4,2,2,2,3,2,2,2,0,2,2,3,2,3,0,1,2,2,1,3,3,1,2,2,2
4,2,0,2,3,1,4,3,4,2,2,1,2,2,2,2,2,3,1,2,4,4,1,1,2,2,3,2,4,2,2,2,2
2,4,3,3,4,4,4,3,3,4,4,0,1,3,3,2,3,0,2,2,2,3,2,0,2,1,0,2,2,0,3,2,2
3,2,0,3,2,3,3,2,3,2,3,3,3,2,3,2,1,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3
2,3,3,4,3,3,3,1,2,3,2,2,2,3,2,3,1,1,1,3,2,3,1,1,1,1,3,3,2,1,2,3,3
3,2,2,2,3,2,3,3,3,2,2,2,3,2,2,2,3,3,2,3,2,3,2,2,2,2,3,1,2,2,1,2,2
3,3,3,2,2,3,3,3,2,3,2,2,1,3,1,3,4,1,1,4,4,2,1,1,2,1,2,3,2,3,2,2,1
3,2,2,2,2,2,3,1,3,2,2,2,2,3,2,2,3,2,2,2,3,3,2,1,3,2,3,3,3,2,2,3,2
2,2,2,2,2,2,3,2,2,4,4,2,2,2,0,4,4,1,2,4,2,2,0,2,2,1,4,2,2,2,2,2,2
2,3,2,3,3,4,3,2,3,2,2,2,2,3,1,3,3,1,2,3,3,3,1,2,1,2,4,2,2,3,2,3,2
2,1,1,2,2,4,3,3,2,2,2,2,3,2,1,3,2,3,2,3,3,3,1,2,2,2,4,2,2,2,2,1,2
2,2,2,2,2,3,4,2,3,3,3,2,2,2,2,2,3,1,2,3,3,2,2,2,2,1,2,2,2,3,2,2,1
2,3,3,4,4,4,2,4,4,0,1,0,0,3,4,2,2,1,2,1,2,4,3,3,3,2,0,3,0,4,0,2,4
3,2,2,3,3,3,3,3,3,4,4,2,1,2,3,1,1,1,3,2,2,3,1,1,1,2,3,2,2,2,1,2,1
4,1,1,3,4,2,2,2,3,4,2,2,2,2,1,4,2,2,4,3,4,4,1,1,3,1,1,1,1,1,3,2,1
2,3,1,3,2,3,4,1,4,3,3,2,3,2,2,2,2,2,1,1,2,4,0,1,2,1,4,3,2,2,3,3,3
3,2,4,2,2,0,4,3,3,2,3,3,3,2,2,2,3,1,2,3,2,2,0,2,3,2,3,3,2,3,2,2,2
1,1,2,3,3,3,3,1,3,3,1,1,2,3,3,1,1,2,3,3,3,1,1,3,1,1,3,3,3,3,3,3,1
1,3,4,1,3,3,3,3,4,3,3,1,1,3,3,3,1,3,1,3,3,3,1,0,1,1,3,1,3,1,3,1,1
3,2,1,4,3,3,3,3,3,2,2,2,3,3,2,3,2,2,2,3,3,3,1,3,2,0,2,3,1,2,1,1,1
2,3,2,3,3,2,2,2,3,3,3,3,2,3,2,1,2,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2,3
4,4,4,3,3,1,4,3,1,1,1,1,0,1,1,3,1,2,1,0,1,4,1,2,4,1,4,3,3,3,4,3,4
2,3,3,2,3,2,3,3,3,4,4,2,3,2,2,3,0,1,1,2,2,2,2,1,2,1,1,4,4,2,3,2,3
2,1,4,2,4,3,3,3,4,4,3,2,3,2,2,1,2,2,0,1,3,3,1,1,2,0,2,3,3,3,1,1,4
2,2,1,2,2,2,2,3,3,3,2,2,2,3,2,2,2,2,3,2,4,1,2,2,2,2,3,2,2,2,2,3,2
4,3,3,3,2,2,3,1,3,3,3,3,2,1,2,2,1,3,2,3,3,3,3,1,1,1,3,2,2,3,2,3,1
2,2,1,2,1,2,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,2,1,2,3,3,1,1,3,1,2,1,3
3,2,3,3,2,3,2,2,2,2,3,2,3,3,2,2,2,2,3,1,2,2,2,2,2,2,3,2,3,2,3,2,2
3,2,2,4,3,1,2,2,2,2,2,2,2,3,2,3,3,2,3,3,2,3,2,2,2,2,1,3,2,2,2,1,2
1,4,1,3,2,4,4,2,4,4,3,1,4,3,3,2,4,1,3,0,0,2,1,4,2,1,3,2,0,3,0,2,2
1,2,3,2,3,3,3,3,3,4,3,3,2,3,2,3,3,2,1,1,3,0,3,2,2,1,1,2,1,2,2,2,1
2,1,0,4,3,2,4,3,4,2,3,2,2,3,2,2,3,3,3,1,4,1,2,1,2,2,4,2,3,2,0,2,2
3,3,1,3,4,1,3,3,4,0,0,3,3,2,3,3,3,3,3,3,3,1,1,2,3,3,3,1,1,3,2,3,2
3,1,1,3,2,3,3,1,3,3,1,3,3,1,3,3,1,3,3,2,3,2,1,1,1,4,3,2,2,3,3,3,3
4,4,4,2,1,3,3,0,2,3,3,1,1,2,3,1,4,3,4,3,3,4,1,0,0,0,1,3,1,4,2,2,1
2,3,0,3,3,1,3,2,3,4,4,3,4,2,1,1,3,1,2,4,0,4,0,2,1,1,2,2,2,2,2,2,2
4,2,2,2,2,3,2,2,4,3,3,2,2,3,3,4,1,2,2,2,1,3,1,2,2,1,4,2,2,1,1,2,1
3,3,3,3,1,3,3,2,3,2,2,2,1,2,2,3,3,2,2,1,2,2,2,2,2,2,3,2,2,3,2,3,3
3,3,3,3,2,1,3,3,3,3,3,2,3,3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,3,2,2
3,2,2,3,3,2,3,3,3,2,2,3,2,4,2,0,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3
3,2,3,3,3,2,3,2,3,2,3,3,2,2,2,2,1,3,2,2,2,2,1,2,3,2,3,3,2,2,2,3,3
3,3,1,2,2,1,2,3,2,2,2,2,3,3,2,3,2,2,3,3,3,3,2,2,2,1,3,3,3,3,2,2,2
3,1,2,2,3,3,3,3,2,3,1,2,3,1,2,2,3,2,1,1,3,3,0,3,3,1,0,2,3,3,3,2,3
1,3,3,3,2,3,3,1,3,3,2,1,3,3,1,3,3,2,1,3,1,3,1,1,1,3,3,3,3,3,2,1,3
3,1,3,3,2,4,4,4,3,2,2,2,3,3,1,4,1,2,1,1,4,4,0,1,1,4,1,3,2,2,1,1,2
1,0,0,4,2,4,4,4,0,4,4,4,4,4,4,2,2,4,0,4,4,2,2,1,0,4,4,0,0,2,0,0,0
4,4,1,2,3,2,2,3,2,2,1,2,2,4,2,4,3,2,1,3,3,2,0,2,2,2,2,4,3,3,2,2,1
3,2,0,3,2,2,4,1,1,3,2,2,1,2,2,2,3,0,3,2,4,3,0,0,0,2,2,4,4,4,4,3,3
3,2,3,3,2,4,3,3,4,2,3,2,0,0,4,2,0,4,3,4,4,4,0,0,2,0,2,4,4,0,2,4,0
3,2,2,2,2,1,3,3,2,3,2,1,3,3,3,2,3,2,3,2,3,3,1,2,2,2,2,3,3,3,2,3,3
2,2,3,1,4,2,1,2,3,3,3,3,2,3,1,2,0,2,2,3,1,2,2,3,3,3,3,3,3,3,2,3,3
3,3,2,2,2,2,3,3,3,2,2,2,1,3,2,2,2,2,3,3,4,3,1,2,2,2,2,3,2,2,2,2,3
3,2,1,3,3,4,3,3,4,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,0,1,2,3,2,3,1
4,3,1,1,3,3,3,2,2,3,3,1,4,1,2,1,1,2,3,1,1,2,0,2,2,2,1,2,4,3,3,4,4
3,2,2,1,2,2,4,1,3,3,3,2,2,2,2,2,1,2,2,2,3,3,2,1,3,2,2,3,3,2,2,2,2
2,2,2,2,2,3,2,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2
3,4,3,3,3,1,3,1,3,3,3,2,3,3,3,2,3,3,1,3,3,2,1,1,2,1,3,1,1,2,3,3,1
3,3,3,3,3,2,2,3,3,3,2,2,2,3,2,3,1,3,3,3,3,2,2,2,3,1,3,2,2,1,2,2,2
2,2,0,4,2,4,4,0,4,4,4,2,0,1,0,2,4,1,4,3,4,4,0,2,1,0,2,3,3,4,2,1,2
3,3,2,1,2,3,3,2,2,2,2,1,1,3,2,2,2,2,3,2,3,2,1,2,3,3,3,3,3,3,3,3,2
3,3,2,3,2,4,3,3,3,2,2,1,1,2,2,3,1,2,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2
2,3,2,1,2,3,3,2,4,3,2,3,2,3,2,3,3,1,2,3,4,2,1,1,2,1,2,3,3,2,2,2,2
4,3,3,0,1,1,1,2,2,1,2,3,2,3,3,4,2,3,2,4,3,2,1,1,3,3,3,3,4,3,3,2,1
2,3,2,3,1,3,3,2,3,3,2,3,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2
4,2,2,2,1,3,3,2,3,2,2,2,2,2,2,3,2,1,2,4,3,4,1,1,2,1,3,2,3,3,3,2,3
3,1,3,2,2,2,3,2,2,4,2,2,2,3,3,3,4,1,3,3,2,3,2,1,2,2,3,2,2,2,2,2,2
2,1,1,3,4,2,2,3,3,3,3,4,4,3,2,2,3,3,4,1,2,2,1,2,1,2,2,2,2,2,2,3,1
3,2,1,3,3,2,2,3,3,3,3,2,1,3,3,3,3,3,2,3,3,3,2,2,2,2,1,2,3,2,2,2,2
3,2,3,3,3,3,2,2,4,3,2,2,2,2,2,2,2,3,2,2,4,1,2,2,3,3,3,1,2,2,3,2,3
0,1,0,4,3,3,3,2,4,4,3,4,4,4,2,2,3,4,2,3,4,3,2,2,2,2,2,2,1,1,0,0,1
3,1,2,3,3,3,3,2,3,3,2,3,2,2,3,2,2,3,2,3,2,4,1,1,2,1,2,3,3,3,2,2,2
3,1,3,3,3,3,3,3,3,3,2,1,1,2,1,3,1,2,3,3,3,3,3,2,2,2,3,2,1,2,2,1,3
3,2,3,2,2,2,2,2,3,3,4,2,3,2,3,2,3,2,2,2,3,3,2,2,2,1,2,3,3,2,2,2,2
2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,3,3,3,2,3,2,3,1,2,2,2,3,4,3,2,2,2,2
3,3,4,2,2,2,3,3,3,3,3,2,1,2,2,2,1,2,2,3,3,3,1,1,2,1,3,3,2,3,2,2,1
4,3,2,3,3,3,3,2,2,3,3,1,1,2,1,3,3,3,3,1,3,3,1,2,2,2,1,3,2,2,2,2,2
3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,3,3,4,1,2,3,2,3,3,2,2,2,2,2
0,1,2,4,3,4,3,4,4,2,3,3,3,3,2,3,4,2,4,2,0,2,2,2,3,4,1,0,1,3,3,3,1
2,3,2,2,3,1,1,1,3,3,3,3,3,3,2,2,2,3,2,2,3,2,1,1,3,1,3,3,3,3,2,3,3
2,2,4,3,1,1,3,3,3,4,1,4,4,1,1,3,3,3,2,0,1,3,3,4,2,4,4,1,3,0,1,4,4
3,3,3,2,3,2,4,3,4,1,4,4,4,3,0,3,2,3,1,1,3,1,0,1,3,2,4,2,4,1,3,1,2
2,1,3,2,1,2,2,2,3,3,2,2,1,3,2,2,4,2,2,2,2,3,2,2,2,1,1,3,4,3,2,1,2
2,4,2,2,3,2,3,2,3,4,2,4,3,4,2,2,2,2,2,1,1,2,4,2,2,3,4,0,0,0,4,4,2
2,0,4,2,2,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,3,1,3,2,1,4
3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,1,2,2,2,3,3,2,2,1,2,2,2,2,3,3,2,2,2
4,2,1,2,3,3,3,3,3,1,2,1,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,3
2,1,3,1,3,2,3,2,2,3,4,2,2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3
3,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2,2,3,2
2,2,3,3,2,1,2,1,3,3,3,2,2,2,3,3,3,3,2,1,3,3,2,2,3,3,2,3,3,3,3,3,2
4,3,2,2,2,4,4,2,4,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,1,2,2,2
3,2,2,3,2,2,3,3,3,3,2,2,3,2,2,3,2,2,2,1,2,2,3,2,2,2,3,3,2,3,3,2,1
3,2,2,2,2,2,2,4,2,3,3,4,2,2,2,2,2,2,2,3,3,3,2,1,3,2,2,2,3,3,2,2,2
2,2,2,3,2,1,4,4,2,2,4,2,2,3,3,1,4,2,2,3,4,2,2,2,2,1,2,3,3,4,2,4,3
0,3,3,3,1,2,2,3,2,3,3,3,3,3,1,3,2,3,3,1,2,4,1,2,3,2,1,4,3,3,4,2,3
1,2,2,2,3,3,3,2,3,2,3,2,2,2,3,1,3,2,3,1,3,3,3,2,3,2,2,3,3,3,2,2,1
3,4,2,2,2,1,1,2,2,1,1,1,4,3,3,3,2,2,2,4,2,3,2,1,2,1,3,3,3,3,2,4,2
2,2,2,1,1,2,2,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,2,2,4,3,3,3,3,1,2
3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,3,1,3,3,1,0,1,3,1
4,0,2,2,4,4,4,4,4,4,4,2,2,4,4,4,3,0,4,0,2,2,2,0,0,2,4,2,4,4,2,3,0
3,2,1,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,3,1,3,2,1,1,3,0,1,3,4,2,2,3,2
4,3,2,2,2,3,3,1,4,2,2,1,3,3,2,2,4,3,2,2,3,3,1,1,2,3,1,3,3,3,2,2,2
4,1,1,0,1,0,4,1,4,3,3,3,3,0,2,4,3,0,2,2,3,2,1,2,1,1,3,3,3,3,2,4,1
4,3,3,3,4,3,2,3,4,1,2,2,3,2,2,3,3,1,3,1,2,2,2,2,3,3,3,2,3,3,4,2,3
3,2,2,2,3,4,3,4,3,3,2,3,2,3,2,2,3,1,3,1,3,2,1,2,3,1,3,3,3,1,1,2,2
3,3,3,2,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,2
3,2,2,2,3,2,3,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,1,2,3,2,2,3,2,2,2,2
4,3,2,3,3,3,3,1,3,3,2,3,2,0,1,3,2,3,3,2,3,4,2,1,2,3,3,1,3,4,1,1,3
4,3,0,2,2,2,2,2,4,3,3,3,2,2,1,1,4,1,3,0,3,2,1,2,2,0,3,4,3,3,4,3,4
3,2,3,2,2,2,2,2,3,3,2,3,3,2,2,3,3,3,3,1,1,3,2,2,2,2,3,2,3,2,3,2,3
4,3,3,0,0,0,4,0,4,2,3,2,4,4,1,2,0,2,1,3,4,4,0,0,0,0,2,4,3,4,2,2,3
3,2,2,3,4,2,3,3,3,2,2,2,3,2,2,2,2,1,2,4,3,3,2,2,2,2,3,1,2,3,2,3,2
0,3,3,3,3,1,3,2,3,3,1,3,3,4,3,3,3,3,1,3,2,3,2,3,2,2,4,2,3,1,1,3,3
3,2,1,2,2,3,3,2,3,4,3,4,3,4,2,2,3,2,2,1,2,3,2,1,2,2,2,3,3,2,2,3,3
3,2,1,2,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2
3,3,1,1,3,0,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,2,2,1,2,2,3,3,3,3,2,2
4,4,1,3,4,4,4,3,3,2,2,3,2,4,1,3,4,3,3,4,4,1,0,1,1,0,1,3,4,3,2,2,1
4,4,3,3,2,2,2,1,2,3,2,3,3,3,3,2,3,4,2,3,1,3,1,1,2,2,3,3,2,3,2,3,3
3,3,3,2,3,2,2,3,3,4,4,4,3,3,3,2,2,3,2,1,4,3,1,1,3,3,2,1,2,3,1,1,2
2,1,3,2,3,2,4,2,4,2,3,2,3,2,2,3,3,4,1,1,2,2,2,1,2,2,2,4,3,3,2,3,2
1,2,3,2,2,3,2,2,3,3,4,1,1,3,2,1,3,1,2,3,4,3,1,2,2,2,2,3,3,4,3,2,1
2,1,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,2,3,3,3,1,2,2,2,2,2,3,3,2,3,3
2,2,2,2,3,3,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,2,2,3,2,2,3,3,3,2,2,2
3,3,2,3,2,3,2,3,3,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,3,3,2,3,2,3,2
2,4,1,2,4,3,4,3,3,4,3,2,1,2,1,3,3,3,1,1,2,0,1,1,3,3,1,4,3,2,2,3,2
3,1,2,2,3,1,3,2,2,4,3,3,2,3,2,2,3,3,3,2,3,3,1,1,2,1,3,3,3,3,2,3,3
4,3,0,2,0,3,3,4,4,4,4,4,4,0,4,0,4,4,4,4,4,1,1,2,2,0,2,1,4,0,4,1,4
4,2,3,2,1,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,2,0,2,3,3,2,2,2,3
3,2,1,3,2,1,3,3,3,3,3,3,2,3,2,2,3,4,2,3,3,3,2,3,3,3,2,1,2,2,2,1,3
2,1,3,2,3,3,3,2,3,4,4,1,2,2,2,3,4,3,1,2,3,3,1,1,2,1,2,3,3,2,3,2,3
3,2,2,2,2,3,2,2,3,3,3,3,2,3,1,2,4,1,2,4,3,2,1,3,1,1,2,4,4,2,2,3,3
3,3,2,4,3,3,3,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2
3,1,0,2,3,3,3,1,4,3,2,4,4,4,2,3,3,4,2,2,1,3,1,0,1,1,3,4,3,3,3,4,2
4,4,3,1,2,3,3,2,3,3,2,2,3,3,1,3,4,2,1,2,2,3,1,2,2,1,2,4,3,3,3,3,2
4,2,2,2,2,2,3,3,4,3,3,1,1,1,3,4,4,4,3,2,1,1,2,2,2,1,2,3,3,3,3,2,3
3,3,2,1,2,2,3,2,3,3,3,2,2,3,2,2,3,3,1,3,3,3,1,1,2,1,1,4,3,4,3,3,3
3,2,2,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,2,2,1
4,3,3,3,2,3,3,2,4,3,1,3,4,3,3,2,1,3,3,3,3,0,1,1,1,3,3,3,2,1,1,3,4
2,2,2,4,3,4,2,3,3,3,2,2,3,4,2,2,3,3,3,2,4,4,2,2,2,3,2,2,3,2,2,1,2
2,4,2,2,2,3,4,2,3,2,3,2,2,3,2,3,2,1,2,3,4,3,1,1,4,0,2,3,3,2,2,2,2
3,4,3,4,4,3,4,0,3,4,4,4,4,4,4,0,4,4,4,1,1,4,0,0,0,0,4,1,1,4,1,0,0
2,2,1,2,3,3,4,2,4,3,2,2,2,3,2,2,4,2,2,4,4,3,2,0,3,0,3,3,4,3,3,2,3
3,3,2,2,3,3,3,2,3,3,3,3,3,4,3,3,4,1,2,3,3,2,2,2,1,2,2,2,2,2,1,2,2
2,2,0,2,3,3,4,2,3,3,3,1,2,3,3,3,3,2,1,2,3,3,0,3,1,0,3,3,4,4,3,3,2
4,3,3,2,3,1,4,3,4,3,3,2,3,2,3,2,3,3,1,3,1,3,2,2,2,2,2,2,2,2,3,3,3
3,3,2,3,2,1,2,2,2,2,2,4,3,2,2,3,2,2,2,3,3,3,3,1,3,3,4,3,3,3,2,2,2
2,3,1,3,3,3,4,2,4,3,3,3,2,4,1,2,4,4,1,3,1,4,1,2,1,0,1,2,2,3,3,3,3
3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,1,3,2,3,2,2,3,2,2,3,4,3,3,3,3,3,2,3
4,0,1,4,3,3,4,1,3,3,2,1,1,2,3,1,2,2,3,4,2,4,3,1,3,1,3,3,2,3,3,1,3
4,4,4,2,4,2,4,4,0,4,4,4,0,3,2,4,2,2,4,4,4,2,3,3,1,2,2,2,2,2,2,2,0
3,3,3,2,2,3,3,2,3,4,3,3,3,3,2,3,3,2,2,3,3,3,1,2,2,2,2,2,2,3,2,1,3
3,2,1,2,2,3,3,2,3,3,2,2,3,4,2,3,3,3,2,3,1,3,2,1,3,2,2,3,2,3,2,3,3
4,0,1,3,1,3,4,0,4,1,0,2,4,4,2,2,4,3,1,4,4,4,0,0,4,2,4,2,4,4,3,2,4
3,2,2,2,3,1,3,3,3,3,3,2,3,3,3,2,3,1,3,1,3,2,2,2,3,2,2,3,1,2,3,4,3
4,4,4,2,3,3,1,1,4,4,0,4,4,2,4,0,2,4,4,4,4,0,0,1,1,2,4,0,3,4,1,4,1
4,4,3,1,3,2,1,2,2,3,3,2,1,4,4,4,3,0,3,2,3,3,1,0,0,2,3,3,3,2,2,3,3
3,1,3,2,3,3,4,3,3,2,2,2,2,4,2,2,2,3,3,4,3,3,2,1,3,3,3,4,0,2,1,1,2
3,3,3,1,2,3,3,3,3,3,3,3,2,4,3,3,4,3,2,4,2,3,2,1,2,2,3,1,3,3,1,4,1
3,3,2,3,1,3,3,3,3,2,3,3,3,3,2,3,3,1,2,3,3,2,1,1,1,1,1,3,3,4,2,3,2
3,2,2,2,4,3,3,3,2,3,3,4,3,3,3,2,3,2,2,2,2,3,1,1,1,2,2,2,3,2,3,2,3
4,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,1,3,2,2,2,2,2,3,2,3,2,3,2,3
3,2,2,3,2,3,3,2,3,3,3,2,2,2,2,3,3,3,3,1,2,2,2,3,3,2,3,3,3,3,3,2,3
3,3,2,1,2,3,3,2,3,3,3,3,1,1,1,2,1,3,2,4,4,4,1,3,2,1,1,3,3,4,3,4,1
2,1,2,3,3,3,2,1,4,3,3,2,1,3,3,3,3,2,2,2,3,2,3,1,2,2,3,3,3,2,2,1,2
3,2,3,2,3,3,3,2,3,3,2,2,2,3,3,2,2,3,3,1,3,3,2,3,3,2,3,2,3,1,3,3,3
2,1,3,2,2,2,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3
3,3,3,4,3,3,3,2,3,3,3,3,1,3,2,2,3,1,2,1,3,2,2,1,2,3,3,4,1,2,2,3,3
3,4,3,4,3,3,3,1,2,2,2,2,1,3,2,4,3,2,2,1,4,3,1,1,3,1,3,3,4,3,3,3,1
2,3,4,2,3,4,2,3,3,2,2,2,2,3,3,3,2,2,3,2,0,2,3,2,2,4,3,1,1,0,4,3,3
3,3,3,3,3,2,0,2,4,3,3,1,3,0,3,1,4,3,1,4,4,4,3,3,4,3,4,0,4,0,2,0,4
2,2,2,3,2,3,2,2,3,0,3,4,2,3,2,3,2,1,3,4,4,4,2,2,2,0,4,3,3,4,1,2,0
2,1,1,2,2,3,3,3,3,3,2,2,3,2,3,2,2,3,2,3,4,2,3,2,2,2,3,2,4,4,3,2,2
2,2,2,2,2,2,4,1,4,4,4,4,3,3,3,2,1,4,1,2,2,3,1,1,2,2,2,3,3,3,2,2,3
2,3,3,3,2,2,3,2,1,3,3,3,3,3,2,1,2,2,2,3,4,4,2,1,2,3,0,3,3,3,3,2,3
4,3,3,1,3,4,3,0,4,3,2,3,4,4,3,3,2,3,1,2,2,3,1,1,3,2,3,3,2,2,2,3,1
4,2,3,1,1,3,4,1,3,3,3,2,2,3,2,2,2,2,4,3,3,3,2,1,2,1,3,3,3,2,3,3,3
3,3,3,3,3,3,3,3,3,4,4,2,0,3,3,2,3,1,2,2,3,2,1,2,1,2,1,2,2,3,2,3,1
2,3,2,1,1,3,2,3,3,1,3,3,1,1,2,4,1,3,3,3,3,3,1,3,3,2,2,4,3,3,4,3,2
1,2,1,2,3,3,4,3,3,3,3,2,2,3,2,2,1,4,2,1,3,3,2,3,2,3,2,3,3,3,3,2,3
2,2,4,2,2,4,4,3,2,2,2,0,4,4,2,4,0,4,2,1,4,4,2,2,4,0,2,4,4,0,2,0,0
4,2,1,4,4,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,3,2,2,1,2,2
3,2,3,1,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,4,2,3,3,2,3,2,3,1,0,3,3
4,3,2,2,2,2,2,3,3,3,3,3,4,2,3,2,2,3,2,2,3,3,1,1,2,2,3,2,3,2,2,3,3
3,3,1,1,2,4,3,2,3,3,3,1,3,2,1,3,3,3,3,3,4,2,1,1,1,2,4,3,4,3,3,3,3
2,1,4,2,2,3,2,2,3,3,3,2,3,3,2,2,2,2,3,3,3,2,2,3,2,3,2,3,2,3,2,2,2
3,3,2,2,2,3,4,2,3,2,3,2,2,2,4,4,3,2,3,2,2,3,1,2,2,2,3,3,3,2,2,4,3
3,4,4,3,2,3,3,2,2,3,3,2,2,3,2,2,3,3,3,2,4,2,2,2,3,2,2,2,1,1,2,2,2
4,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,3,1,1,2,2,2,3,2,2,2,3,2
2,3,3,2,2,4,4,4,4,2,2,3,4,3,4,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4
2,3,2,1,2,4,4,2,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,1,3,1,1,2,2,2,2,2
4,2,2,3,4,3,4,2,4,3,3,2,4,4,2,2,0,4,3,3,4,3,0,1,2,1,1,2,2,4,1,1,1
2,4,2,2,1,1,2,0,3,4,4,1,3,2,4,4,4,3,4,4,2,2,1,2,3,1,2,3,3,0,2,3,2
4,2,2,3,3,3,3,3,3,3,3,3,2,3,3,0,3,2,3,3,3,3,1,2,3,1,4,3,3,2,2,2,2
3,3,0,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,0,1,0,0,4,2,1,1,1,1,1,0
4,1,3,1,0,3,2,4,3,2,2,4,4,4,4,3,3,4,2,2,3,4,0,2,0,2,1,3,3,3,2,2,3
2,3,2,3,3,3,3,2,4,3,3,1,2,3,1,3,1,3,3,3,1,3,1,2,3,3,4,3,3,3,3,3,3
